canonical_name	abbreviation	format	standard_status_hint	source_section	description
$LISTGET		$LISTGET( list , position , default ) $LG( list , position , default ) SET $LISTGET( var1 , var2 ,...)= list SET $LG( var1 , var2 ,...)= list	ansi	site/RCOS_flistget.html#RCOS_flistget	$LISTGET has two syntax forms: $LISTGET and SET $LISTGET :
$LISTLENGTH		$LISTLENGTH( list ) $LL( list )	ansi	site/RCOS_flistlength.html#RCOS_flistlength	$LISTLENGTH returns the number of elements in list . $LISTLENGTH counts as a list element every designated list position, whether or not that position contains data.
$LISTNEXT		$LISTNEXT( list , ptr , value )	ansi	site/RCOS_flistnext.html#RCOS_flistnext	$LISTNEXT sequentially returns elements in a list . You initialize ptr to 0 before the first invocation of $LISTNEXT . This causes $LISTNEXT to begin returning elements from the beginning of the list. Each successive invocation of $LISTNEXT advances ptr and returns the next list element value to value . The $LISTNEXT function returns 1, indicating that a list element has been successfully retrieved.
$LISTSAME		$LISTSAME( list1 , list2 ) $LS( list1 , list2 )	ansi	site/RCOS_flistsame.html#RCOS_flistsame	$LISTSAME compares the contents of two lists and returns 1 if the lists are identical. If the lists are not identical, $LISTSAME returns 0. $LISTSAME compares list elements using their string representations. $LISTSAME comparisons are case-sensitive.
$LISTTOSTRING		$LISTTOSTRING( list , delimiter , flag ) $LTS( list , delimiter , flag )	ansi	site/RCOS_flisttostring.html#RCOS_flisttostring	$LISTTOSTRING takes an InterSystems IRIS list and converts it to a string. In the resulting string, the elements of the list are separated by the delimiter .
$LISTUPDATE		$LISTUPDATE( list , position , bool : value ...) $LU( list , position , bool : value ...)	ansi	site/RCOS_flistupdate.html#RCOS_flistupdate	$LISTUPDATE returns a copy of a list updated by replacing or adding one or more list elements by position. The position specifies the position in the list at which to begin updating elements. Elements are updated sequentially, starting from this position. The position can be larger than the number of elements in the list. If so, additional null elements are added to the list (if necessary) to insert a new element at the specified position. Note that position must be a positive integer; $LISTUPDATE cannot insert a new element at the beginning of the list. Setting position =0 performs no operation. $LISTUPDATE also cannot specify end-of-list, except by position count from the beginning of the list.
$LISTVALID		$LISTVALID( exp ) $LV( exp )	ansi	site/RCOS_flistvalid.html#RCOS_flistvalid	$LISTVALID determines whether exp is a list, and returns a Boolean value: If exp is a list, $LISTVALID returns 1; if exp is not a list, $LISTVALID returns 0.
$LOCATE		$LOCATE( string , regexp , start , end , val )	ansi	site/RCOS_flocate.html#RCOS_flocate	$LOCATE matches a regular expression against successive substrings of a specified string. It returns an integer specifying the starting location of the first regexp match within string . It counts locations from 1. It returns 0 if regexp does not match any subset of string .
$MATCH		$MATCH( string , regexp )	ansi	site/RCOS_fmatch.html#RCOS_fmatch	$MATCH is a boolean function that returns 1 if string and regexp match, and 0 if string and regexp do not match. By default, matching is case-sensitive.
$METHOD		$METHOD( instance , methodname , arg1 , arg2 , arg3 , ... )	ansi	site/RCOS_fmethod.html#RCOS_fmethod	$METHOD executes a named instance method for a specified instance of a designated class.
$NAME		$NAME( variable , integer ) $NA( variable , integer )	ansi	site/RCOS_fname.html#RCOS_fname	$NAME returns a formatted form of the variable name reference supplied as variable . It does not check whether this variable is defined or has a data value. The value $NAME returns depends on the arguments used.
$NCONVERT		$NCONVERT( n , format , endian ) $NC( n , format , endian )	ansi	site/RCOS_fnconvert.html#RCOS_fnconvert	$NCONVERT uses the specified format to convert the number n to an encoded string of 8-bit characters. The values of these characters are in the range $CHAR(0) through $CHAR(255) .
$NORMALIZE		$NORMALIZE( num , scale )	ansi	site/RCOS_fnormalize.html#RCOS_fnormalize	The $NORMALIZE function validates num and returns the normalized form of num . It performs rounding (or truncation) of fractional digits using the scale argument. You can use the scale argument to round a real number to a specified number of fractional digits, to round a real number to an integer, or to truncate a real number to an integer.
$NOW		$NOW( tzmins )	ansi	site/RCOS_fnow.html#RCOS_fnow	$NOW can return the following:
$NUMBER		$NUMBER( num , format , min , max ) $NUM( num , format , min , max )	ansi	site/RCOS_fnumber.html#RCOS_fnumber	The $NUMBER function converts and validates the num numeric value using the specified format . It accepts numbers supplied with a variety of punctuation formats and returns numbers in InterSystems IRIS canonical form. You can use format to test whether a number is an integer. If min or max are specified, the number must fall within that range of values.
$ORDER		$ORDER( variable , direction , target ) $O( variable , direction , target )	ansi	site/RCOS_forder.html#RCOS_forder	$ORDER is primarily used to loop through subscripted variables at a specified subscript level from a specified starting point. It returns sequential variables in collation sequence. It allows for gaps in the subscript sequence.
