in_anno	in_ydb	ydb_section	standard_status	mnemonic	summary	kind
false	true	MessageRecovery/errors.rst#CRYPTNOOVERRIDE	ydb-extension	CRYPTNOOVERRIDE	Cannot override IVEC and/or key without compromising integrity	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTNOSEEK	ydb-extension	CRYPTNOSEEK	SEEK disallowed on the encrypted file ffff	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTNOTRUNC	ydb-extension	CRYPTNOTRUNC	Not positioned at file start or EOF. TRUNCATE disallowed on the encrypted file ffff	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTOPFAILED	ydb-extension	CRYPTOPFAILED	Encrypt/Decrypt operation failed for file ffff. eeee	Run Time Error
false	true	MessageRecovery/errors.rst#CTLMNEMAXLEN	ydb-extension	CTLMNEMAXLEN	The maximum length of a control mnemonic has been exceeded	Run Time Error
false	true	MessageRecovery/errors.rst#CTLMNEXPECTED	ydb-extension	CTLMNEXPECTED	Control mnemonic is expected in this context	Run Time Error
false	true	MessageRecovery/errors.rst#CTRAP	ydb-extension	CTRAP	Character trap $C(xxxx) encountered	Run Time Error
false	true	MessageRecovery/errors.rst#CTRLC	ydb-extension	CTRLC	CTRL_C encountered	Information
false	true	MessageRecovery/errors.rst#CTRLY	ydb-extension	CTRLY	User interrupt encountered	Information
false	true	MessageRecovery/errors.rst#CURRSOCKOFR	ydb-extension	CURRSOCKOFR	Current socket of index xxxx is out of range. There are only yyyy sockets.	Run Time Error
false	true	MessageRecovery/errors.rst#CUSTERRNOTFND	ydb-extension	CUSTERRNOTFND	Error mnemonic eeee specified in custom errors file is not valid for this version of YottaDB	Run Time Error
false	true	MessageRecovery/errors.rst#CUSTERRSYNTAX	ydb-extension	CUSTERRSYNTAX	Syntax error in file ffff at line number nnnn	Run Time Error
false	true	MessageRecovery/errors.rst#CUSTOMFILOPERR	ydb-extension	CUSTOMFILOPERR	Error while doing oooo operation on file ffff	Run Time Error
false	true	MessageRecovery/errors.rst#DBADDRALIGN	ydb-extension	DBADDRALIGN	Database file xxxx, element location aaaa: blk = bbbb: yyyy control cccc was unaligned relative to base dddd and element size eeee	Information
false	true	MessageRecovery/errors.rst#DBADDRANGE	ydb-extension	DBADDRANGE	Database file rrrr, element location aaaa: blk = xxxx: control vvvv was outside qqqq range bbbb to tttt	Run Time Error
false	true	MessageRecovery/errors.rst#DBADDRANGE8	ydb-extension	DBADDRANGE8	Database file rrrr element location aaaa: control vvvv was outside qqqq range bbbb to tttt	Run Time Error
false	true	MessageRecovery/errors.rst#DBBADFREEBLKCTR	ydb-extension	DBBADFREEBLKCTR	Database xxxx free blocks counter in file header: oooo appears incorrect, should be nnnn. Auto-corrected.	Warning
false	true	MessageRecovery/errors.rst#DBBADKYNM	ydb-extension	DBBADKYNM	xxxx Bad key name	Error
false	true	MessageRecovery/errors.rst#DBBADNSUB	ydb-extension	DBBADNSUB	xxxx Bad numeric subscript	Error
false	true	MessageRecovery/errors.rst#DBBADPNTR	ydb-extension	DBBADPNTR	xxxx Bad pointer value in directory	Error
